date,us2yield,sp500,usd_index,us2yield_change,sp500_return,usd_index_change
2022-05-18,2.68,3923.68,120.0274,-0.029999999999999805,-0.04039522115020122,0.0011702676935216871
2022-05-19,2.63,3900.79,119.4278,-0.050000000000000266,-0.005833809077192775,-0.004995526021558394
2022-05-20,2.6,3901.36,119.3677,-0.029999999999999805,0.00014612424662696633,-0.0005032329156193782
2022-05-23,2.65,3973.75,118.7169,0.04999999999999982,0.01855506797629536,-0.005452061152221299
2022-05-24,2.5,3941.48,118.6245,-0.1499999999999999,-0.008120792702107527,-0.0007783222102328846
2022-05-25,2.48,3978.73,118.9598,-0.020000000000000018,0.009450764687376267,0.0028265661815223275
2022-05-26,2.46,4057.84,118.7687,-0.020000000000000018,0.01988322907058282,-0.0016064250276144332
2022-05-27,2.47,4158.24,118.2834,0.010000000000000231,0.024742227391912897,-0.0040860933899250496
2022-05-31,2.53,4132.15,118.0704,0.05999999999999961,-0.006274289122320975,-0.001800759869939439
2022-06-01,2.66,4101.23,118.6954,0.13000000000000034,-0.007482787410912017,0.005293452042171465
2022-06-02,2.65,4176.82,118.0658,-0.010000000000000231,0.018431056049039052,-0.005304333613602608
2022-06-03,2.66,4108.54,118.2153,0.010000000000000231,-0.016347364741597592,0.0012662430610728137
2022-06-06,2.73,4121.43,118.3081,0.06999999999999984,0.0031373675320187644,0.0007850083703209165
2022-06-07,2.75,4160.68,118.4414,0.020000000000000018,0.009523393579413009,0.0011267191341928218
2022-06-08,2.78,4115.77,118.3951,0.029999999999999805,-0.010793908688002896,-0.0003909106106479987
2022-06-09,2.83,4017.82,118.9226,0.050000000000000266,-0.023798705952956634,0.004455420874681426
2022-06-10,3.06,3900.86,119.9981,0.22999999999999998,-0.02911031355312088,0.009043697329187195
2022-06-13,3.4,3749.63,121.1523,0.33999999999999986,-0.03876837415339185,0.00961848562602241
2022-06-14,3.45,3735.48,121.6669,0.050000000000000266,-0.0037737056722930706,0.004247546270273128
2022-06-15,3.2,3789.99,121.6403,-0.25,0.014592502168395916,-0.00021862971769648354
